  244.9720      286.1320      52.24042    
  246.1236      208.5541      48.32757    
  247.2749      263.4861      49.79427    
  248.4266      205.6707      45.79104    
  249.5777      176.6404      48.29866    
  250.7291      156.8931      40.21802    
  251.8806      201.8058      43.02521    
  253.0319      273.2181      49.88266    
  254.1834      208.0675      43.38513    
  255.3348      125.7922      33.61946    
  256.4864      178.4390      39.90022    
  257.6376      274.6027      50.88472    
  258.7889      114.4232      31.73536    
  259.9404      87.34068      27.61961    
  261.0918      95.50421      33.62104    
  262.2435      146.4485      35.51906    
  263.3947      102.6095      31.99213    
  264.5460      135.9998      33.99999    
  265.6974      143.3197      34.76020    
  266.8488      133.9139      33.47854    
  268.0003      132.8557      33.21398    
  269.0080      88.03875      31.12643    
  291.2596      103.0087      11.32937    
  292.6308      68.19093      9.644103    
  294.0019      82.45276      9.781888    
  295.3729      97.63489      10.46758    
  296.7437      89.20450      9.973382    
  298.1148      104.0955      11.29308    
  298.3669      75.81334      5.796756    
  299.4861      83.59953      9.961074    
  299.7718      87.77510      5.966418    
  300.8571      88.49222      10.19081    
  301.1766      69.44379      5.483385    
  302.2283      65.13582      9.211524    
  302.5815      71.27828      5.473923    
  303.5994      64.67515      8.624256    
  303.9864      79.18493      5.542885    
  304.9705      68.46143      8.820995    
  305.3913      78.30775      5.623816    
  306.3416      74.42184      9.021515    
  306.7963      66.13215      5.260135    
  307.7126      46.44545      7.900495    
  308.2012      53.73726      4.750257    
  309.0837      71.28952      8.771579    
  309.6059      70.80209      5.176527    
  310.4549      56.23084      8.328976    
  311.0107      62.22623      4.953552    
  311.8259      72.37097      8.773301    
  312.4156      54.47989      4.552313    
  312.5819      60.90873      4.016223    
  313.1967      71.83845      8.945298    
  313.8205      55.56731      4.693591    
  314.0544      49.89651      3.663860    
  314.5678      59.09948      8.280264    
  315.2254      59.50006      4.687898    
  315.5269      51.52279      3.704641    
  315.9391      38.42680      7.152036    
  316.6302      58.37842      4.656179    
  316.9994      49.49674      3.624627    
  317.3102      40.16238      6.507947    
  318.0351      57.59442      4.580598    
  318.4719      46.50752      3.510246    
  318.6814      36.87630      6.534799    
  319.4403      50.82115      4.351250    
  319.8810      36.96748      6.986206    
  319.9444      44.97667      3.477149    
  320.8452      49.78576      4.265315    
  321.4171      49.23282      3.561203    
  322.2499      46.98029      4.219340    
  322.8896      36.09509      3.150163    
  323.6548      37.66011      3.737230    
  324.3621      38.18933      3.127424    
  325.0596      40.81307      3.804046    
  325.8346      36.99702      3.017064    
  326.4644      34.39172      3.521847    
  327.3071      34.41324      2.922710    
  327.6937      24.35659      3.773112    
  328.7796      36.02230      2.993152    
  330.2520      35.09601      2.946320    
  331.7245      34.84604      2.943199    
  333.1972      30.07788      2.815868    
  334.6697      27.18078      2.551315    
  336.1422      24.97400      2.442931    
  337.6147      24.13024      2.394565    
  339.0872      21.75798      2.273078    
  340.5597      24.22243      2.516209    
  342.0322      21.21874      2.311913    
  343.3208      23.23967      2.766698    
  367.4493      13.92818      2.969502    
  369.1831      7.553512      2.180514    
  370.9173      3.120378      1.652388    
  372.6518      11.18000      2.635155    
  374.3859      6.782641      2.045047    
  376.1201      14.09081      2.938144    
  377.8542      14.00801      2.920878    
  379.5882      9.063658      2.340230    
  381.3224      12.01128      2.685808    
  383.0567      7.161991      2.067492    
  384.7909      5.923858      1.873292    
  386.5251      3.525283      1.764691    
  388.2592      5.260324      1.753444    
  389.9932      6.377831      1.922993    
  391.7274      5.185700      1.728570    
  393.4617      4.576344      1.809286    
  395.1960      3.408747      1.503249    
  396.9302      3.382168      1.380767    
  398.6642      4.475142      1.582205    
  400.3982      3.329011      1.468861    
  402.1326      3.313678      1.460747    
  403.6500      2.194807      1.462071    
