'110225          counter1
'13050728        counter2
'240             counter3
'2483784         counter4
'109780          N "Strob"
'1               crate->monitor.finish
'300             nrepeat_curr
'0               crate->monitor.rest
1     6               
2     5               
3     8               
4     9               
5     33              
6     47944           
7     59050           
8     102             
9     63              
10    65              
11    64              
12    70              
13    59              
14    79              
15    62              
16    80              
17    68              
18    85              
19    96              
20    76              
21    91              
22    86              
23    103             
24    87              
25    85              
26    75              
27    66              
28    82              
29    79              
30    63              
31    68              
32    63              
33    70              
34    55              
35    60              
36    67              
37    51              
38    32              
39    36              
40    41              
41    48              
42    35              
43    27              
44    31              
45    25              
46    22              
47    26              
48    24              
49    24              
50    15              
51    18              
52    8               
53    11              
54    6               
55    9               
56    3               
57    6               
58    4               
59    7               
60    7               
61    7               
62    5               
63    2               
64    5               
65    3               
66    2               
67    1               
68    1               
69    4               
70    1               
72    3               
73    2               
76    1               
78    3               
